Farmer_Message,Advisor_Reply,Crop,Problem_Type,Language,Location,Season,Urgency_Level,Sentiment,Advisor_Type,Product_Recommended,Cost_Estimate,Follow_Up_Required,Message_Length,Intent_Tag,Timestamp
ıııııııııııııııııı ııııııııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııı ııııııııı,ııııııııııııııııııııııııııı ıııııı ııııııııııııııı ıııııııııııı,Brinjal,Equipment,Rajasthani,Bihar,Winter,Low,Worried,Private,Fungicide,313,Yes,10,ask_advice,08/04/2024 23:37
ıııııııııııı ııııııııı ııııııııı ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı.,ıııııııııııı ıııııı ıııııııııııııııııı ııııııııı.,Cotton,Water,Gujarati,West Bengal,Monsoon,Low,Hopeful,Govt_Expert,Fertilizer,4169,No,11,ask_advice,01/06/2024 23:55
ııııııııı ıııııı ııııııııı ıııııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııı,Tea,Water,Punjabi,Rajasthan,Summer,Medium,Angry,NGO,Irrigation Pump,3194,Yes,11,ask_advice,25/03/2024 12:22
ıııııııııııı ıııııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ııııııııııııııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Ragi,Pest,Hindi,Karnataka,Monsoon,Low,Neutral,NGO,Fungicide,744,Yes,8,ask_advice,28/01/2025 12:48
ıııııııııııııııııı ııııııııııııııı ıııııı ııııııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ııııııııı.,ıııııııııııııııııı ıııııııııııııııııı ııııııııı ııııııııı ıııııııııııı ıııııııııııı ıııııııııııı.,Cotton,Equipment,Marathi,Maharashtra,Kharif,High,Angry,AI,None,0,Yes,9,ask_advice,02/11/2024 14:31
ıııııııııııı ııııııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı,ııııııııı ıııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı,Tomato,Disease,Haryanvi,Haryana,Summer,Medium,Hopeful,Human,Neem Oil,485,No,9,ask_advice,07/02/2025 09:52
ııııııııııııııı ıııııı ııııııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııı ıııııııııııı ııııııııı.,ıııııııııııııııııı ıııııııııııııııııı ııııııııı ııııııııı ıııııııııııı ıııııııııııı ıııııııııııı.,Spices,Market,Marathi,Sikkim,Zaid,High,Angry,AI,None,0,No,9,ask_advice,16/04/2025 21:14
ııııııııııııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,ıııııııııııııııııı ıııııııııııı.,Onion,Equipment,Kannada,West Bengal,Summer,Low,Worried,AI,Fertilizer,3007,No,24,ask_advice,25/04/2024 22:35
ıııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııııııııı,Tomato,Water,Hindi,Uttarakhand,Kharif,Low,Angry,Human,None,0,Yes,10,ask_advice,12/03/2025 19:25
ıııııı ıııııııı ıııııı ıııııııııııı ıııııııı,ıııııııııııııııı ıııııı ıııı ıııııııııııı ıııııııı,Cotton,Disease,Kashmiri,Goa,Winter,Low,Angry,NGO,Irrigation Pump,4357,Yes,5,ask_advice,02/07/2024 20:47
